Commentary	Ref	Literature(PubmedID)	value
1 	334	0	56000.0
x 	334	10689076	99000.0
x 	335	19911836	19000.0
x 	335	20467831	20000.0
x 	335	0	21500.0
x 	335	0	22500.0
x 	335	10830514	23000.0
x 	335	15057452	23475.0
x 	335	100536469	24000.0
x 	335	0	44000.0
x 	335	9678255	44700.0
x 	335	9678255	45000.0
enzyme component II from strain W1, gel filtration	335	0	48500.0
enzyme component II from strain W1, gel filtration	335	0	48500.0
1 	335	0	49500.0
1 	335	0	50000.0
enzyme component II from strain W2, gel filtration	335	0	51000.0
enzyme component II from strain W2, gel filtration	335	0	51000.0
1 	335	0	56000.0
x 	335	10689076	99000.0
x 	336	19911836	19000.0
x 	336	20467831	20000.0
x 	336	0	21500.0
x 	336	0	22500.0
x 	336	10830514	23000.0
x 	336	15057452	23475.0
x 	336	100536469	24000.0
x 	336	0	44000.0
x 	336	9678255	44700.0
x 	336	9678255	45000.0
enzyme component II from strain W1, gel filtration	336	0	48500.0
enzyme component II from strain W1, gel filtration	336	0	48500.0
1 	336	0	49500.0
1 	336	0	50000.0
enzyme component II from strain W2, gel filtration	336	0	51000.0
enzyme component II from strain W2, gel filtration	336	0	51000.0
1 	336	0	56000.0
x 	336	10689076	99000.0
x 	337	19911836	19000.0
x 	337	20467831	20000.0
x 	337	0	21500.0
x 	337	0	22500.0
x 	337	10830514	23000.0
x 	337	15057452	23475.0
x 	337	100536469	24000.0
x 	337	0	44000.0
x 	337	9678255	44700.0
x 	337	9678255	45000.0
enzyme component II from strain W1, gel filtration	337	0	48500.0
enzyme component II from strain W1, gel filtration	337	0	48500.0
1 	337	0	49500.0
1 	337	0	50000.0
enzyme component II from strain W2, gel filtration	337	0	51000.0
enzyme component II from strain W2, gel filtration	337	0	51000.0
1 	337	0	56000.0
x 	337	10689076	99000.0
x 	338	19911836	19000.0
x 	338	20467831	20000.0
x 	338	0	21500.0
x 	338	0	22500.0
x 	338	10830514	23000.0
x 	338	15057452	23475.0
x 	338	100536469	24000.0
