Commentary	Substrate	Ref	Literature(PubmedID)	value
80°C, pH not specified in the publication	acetaldehyde	1101	9973342	5.5
80°C, pH not specified in the publication	NADPH	1101	9973342	6.3
80°C, pH not specified in the publication	phenylacetaldehyde	1101	9973342	10.4
80°C, pH not specified in the publication	NADP+	1101	9973342	15.8
80°C, pH not specified in the publication	ethanol	1101	9973342	19.2
80°C, pH not specified in the publication	NAD+	1102	9973342	2.4
80°C, pH not specified in the publication	methylglyoxal	1102	9973342	3.7
80°C, pH not specified in the publication	acetaldehyde	1102	9973342	5.5
80°C, pH not specified in the publication	NADPH	1102	9973342	6.3
80°C, pH not specified in the publication	phenylacetaldehyde	1102	9973342	10.4
80°C, pH not specified in the publication	NADP+	1102	9973342	15.8
80°C, pH not specified in the publication	ethanol	1102	9973342	19.2
pH 7.0, 25°C	Hexanol	1162	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1162	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1162	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1162	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1162	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1162	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1162	11742541	307.0
pH 7.0, 25°C	Hexanal	1162	11742541	359.0
pH 7.0, 25°C	pentanal	1162	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1162	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1162	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1162	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1162	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1162	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1162	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1162	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1162	11742541	9581.0
pH 7.0, 25°C	pentanal	1162	11742541	11920.0
pH 7.0, 25°C	Hexanol	1163	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1163	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1163	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1163	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1163	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1163	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1163	11742541	307.0
pH 7.0, 25°C	Hexanal	1163	11742541	359.0
pH 7.0, 25°C	pentanal	1163	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1163	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1163	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1163	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1163	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1163	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1163	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1163	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1163	11742541	9581.0
pH 7.0, 25°C	pentanal	1163	11742541	11920.0
pH 7.0, 25°C	Hexanol	1164	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1164	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1164	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1164	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1164	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1164	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1164	11742541	307.0
pH 7.0, 25°C	Hexanal	1164	11742541	359.0
pH 7.0, 25°C	pentanal	1164	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1164	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1164	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1164	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1164	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1164	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1164	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1164	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1164	11742541	9581.0
pH 7.0, 25°C	pentanal	1164	11742541	11920.0
