EC_Number	Systematic_name	Recommended_name	UniProt	Organism	Commentary	Ref
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Apis mellifera ligustica	AMENDA reliability +	74
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Apium graveolens Dulce Group	FRENDA	75
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aplysia sp.	AMENDA reliability +	76
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Apoidea	FRENDA	77
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Apus apus	AMENDA reliability +	78
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aquifex aeolicus		79
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arabidopsis	AMENDA reliability +	80
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arabidopsis	FRENDA	81
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arabidopsis thaliana	AMENDA reliability +	82
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arabidopsis thaliana	FRENDA	83
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arachis hypogaea	FRENDA	84
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aralia	AMENDA reliability +	85
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aralia	FRENDA	86
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aralia continentalis	AMENDA reliability +++	87
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aralia elata	FRENDA	88
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Archaea	FRENDA	89
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Archaeoglobus fulgidus		90
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		archaeon	AMENDA reliability +	91
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		archaeon	AMENDA reliability ++	92
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		archaeon	AMENDA reliability +++	93
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		archaeon	FRENDA	94
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arctium lappa	AMENDA reliability +	95
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Ardis	FRENDA	96
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Areas	AMENDA reliability +	97
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Areas	FRENDA	98
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Areca	FRENDA	99
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arecaceae	FRENDA	100
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arene	FRENDA	101
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Argemone mexicana	AMENDA reliability +++	102
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Argynnis pandora	FRENDA	103
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Armoracia rusticana	AMENDA reliability +	104
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Armoracia rusticana	FRENDA	105
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aroma	FRENDA	106
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aromatoleum aromaticum	FRENDA	107
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Artemisia	FRENDA	108
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Artemisia capillaris	FRENDA	109
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Artemisia dracunculus	AMENDA reliability +++	110
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Artemisia iwayomogi	FRENDA	111
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Artemisia montana	AMENDA reliability +	112
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Arxula	FRENDA	113
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Ascaris	FRENDA	114
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Ascaris suum	AMENDA reliability +	115
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aspergillus	AMENDA reliability +++	116
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aspergillus flavus	FRENDA	117
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aspergillus fumigatus	AMENDA reliability +	118
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aspergillus nidulans	FRENDA	119
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aspergillus niger	AMENDA reliability +++	120
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aspergillus ochraceus TS	FRENDA	121
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aspergillus parasiticus	FRENDA	122
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Asplenium ruprechtii	AMENDA reliability +	123
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Aster koraiensis	AMENDA reliability +	124
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Astragalus	AMENDA reliability +++	125
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Astragalus	FRENDA	126
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Astragalus membranaceus	FRENDA	127
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Atractylodes macrocephala	FRENDA	128
