Commentary	Ref	Literature(PubmedID)	value
calculated	726	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	6.2
calculated	726	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	9.2
to 9.0, isoelectric focusing	727	https://www.brenda-enzymes.org/literature.php?r=663671	8.2
to 9.0, isoelectric focusing	728	https://www.brenda-enzymes.org/literature.php?r=663671	8.2
to 9.0, isoelectric focusing	729	https://www.brenda-enzymes.org/literature.php?r=663671	8.2
to 9.0, isoelectric focusing	730	https://www.brenda-enzymes.org/literature.php?r=663671	8.2
to 9.0, isoelectric focusing	731	https://www.brenda-enzymes.org/literature.php?r=663671	8.2
to 9.0, isoelectric focusing	732	https://www.brenda-enzymes.org/literature.php?r=663671	8.2
to 9.0, isoelectric focusing	733	https://www.brenda-enzymes.org/literature.php?r=663671	8.2
isoelectric focusing	821	https://www.ncbi.nlm.nih.gov/pubmed/?term=17383610	6.5
isoelectric focusing	822	https://www.ncbi.nlm.nih.gov/pubmed/?term=17383610	6.5
isoelectric focusing	823	https://www.ncbi.nlm.nih.gov/pubmed/?term=17383610	6.5
isoelectric focusing	824	https://www.ncbi.nlm.nih.gov/pubmed/?term=17383610	6.5
isoelectric focusing	825	https://www.ncbi.nlm.nih.gov/pubmed/?term=17383610	6.5
isoelectric focusing	826	https://www.ncbi.nlm.nih.gov/pubmed/?term=17383610	6.5
isoelectric focusing	827	https://www.ncbi.nlm.nih.gov/pubmed/?term=17383610	6.5
isoelectric focusing	828	https://www.ncbi.nlm.nih.gov/pubmed/?term=17383610	6.5
xylanase 2, isoelectric focusing	835	https://www.brenda-enzymes.org/literature.php?r=738127	7.7
xylanase 1, isoelectric focusing	835	https://www.brenda-enzymes.org/literature.php?r=738127	9.0
xylanase 2, isoelectric focusing	836	https://www.brenda-enzymes.org/literature.php?r=738127	7.7
xylanase 1, isoelectric focusing	836	https://www.brenda-enzymes.org/literature.php?r=738127	9.0
xylanase 2, isoelectric focusing	837	https://www.brenda-enzymes.org/literature.php?r=738127	7.7
xylanase 1, isoelectric focusing	837	https://www.brenda-enzymes.org/literature.php?r=738127	9.0
xylanase 2, isoelectric focusing	838	https://www.brenda-enzymes.org/literature.php?r=738127	7.7
xylanase 1, isoelectric focusing	838	https://www.brenda-enzymes.org/literature.php?r=738127	9.0
xylanase 2, isoelectric focusing	839	https://www.brenda-enzymes.org/literature.php?r=738127	7.7
xylanase 1, isoelectric focusing	839	https://www.brenda-enzymes.org/literature.php?r=738127	9.0
Xyl1-3, isoelectric focusing; Xyl16-3, isoelectric focusing	890	https://www.brenda-enzymes.org/literature.php?r=655228	6.0
Xyl6-6, isoelectric focusing	890	https://www.brenda-enzymes.org/literature.php?r=655228	7.0
Xylam, isoelectric focusing	890	https://www.brenda-enzymes.org/literature.php?r=655228	7.1
Xyl1-3, isoelectric focusing; Xyl16-3, isoelectric focusing	891	https://www.brenda-enzymes.org/literature.php?r=655228	6.0
Xyl6-6, isoelectric focusing	891	https://www.brenda-enzymes.org/literature.php?r=655228	7.0
Xylam, isoelectric focusing	891	https://www.brenda-enzymes.org/literature.php?r=655228	7.1
Xyl1-3, isoelectric focusing; Xyl16-3, isoelectric focusing	892	https://www.brenda-enzymes.org/literature.php?r=655228	6.0
Xyl6-6, isoelectric focusing	892	https://www.brenda-enzymes.org/literature.php?r=655228	7.0
Xylam, isoelectric focusing	892	https://www.brenda-enzymes.org/literature.php?r=655228	7.1
Xyl1-3, isoelectric focusing; Xyl16-3, isoelectric focusing	893	https://www.brenda-enzymes.org/literature.php?r=655228	6.0
Xyl6-6, isoelectric focusing	893	https://www.brenda-enzymes.org/literature.php?r=655228	7.0
Xylam, isoelectric focusing	893	https://www.brenda-enzymes.org/literature.php?r=655228	7.1
calculated	904	https://www.ncbi.nlm.nih.gov/pubmed/?term=16461639	8.5
calculated	905	https://www.ncbi.nlm.nih.gov/pubmed/?term=16461639	8.5
calculated	906	https://www.ncbi.nlm.nih.gov/pubmed/?term=16461639	8.5
calculated	907	https://www.ncbi.nlm.nih.gov/pubmed/?term=16461639	8.5
isozyme IIa, isoelectric focusing; isozyme IIb, isoelectric focusing	924	https://www.ncbi.nlm.nih.gov/pubmed/?term=10923787	4.2
isozyme Ia, isoelectric focusing; isozyme Ib, isoelectric focusing; isozyme Ic, isoelectric focusing	924	https://www.ncbi.nlm.nih.gov/pubmed/?term=10923787	6.0
isozyme IIa, isoelectric focusing; isozyme IIb, isoelectric focusing	925	https://www.ncbi.nlm.nih.gov/pubmed/?term=10923787	4.2
isozyme Ia, isoelectric focusing; isozyme Ib, isoelectric focusing; isozyme Ic, isoelectric focusing	925	https://www.ncbi.nlm.nih.gov/pubmed/?term=10923787	6.0
predicted from amino acid sequence	937	https://www.ncbi.nlm.nih.gov/pubmed/?term=16673939	7.69
predicted from amino acid sequence	938	https://www.ncbi.nlm.nih.gov/pubmed/?term=16673939	7.69
predicted from amino acid sequence	939	https://www.ncbi.nlm.nih.gov/pubmed/?term=16673939	7.69
calculated	948	https://www.ncbi.nlm.nih.gov/pubmed/?term=24861346	4.8
sequence calculation	1047	https://www.ncbi.nlm.nih.gov/pubmed/?term=19759868	5.47
isoelectric focusing	1098	https://www.ncbi.nlm.nih.gov/pubmed/?term=15142626	4.8
isoelectric focusing	1106	https://www.ncbi.nlm.nih.gov/pubmed/?term=23157299	6.5
isoelectric focusing	1107	https://www.ncbi.nlm.nih.gov/pubmed/?term=23157299	6.5
isoelectric focusing	1108	https://www.ncbi.nlm.nih.gov/pubmed/?term=23157299	6.5
isoelectric focusing	1109	https://www.ncbi.nlm.nih.gov/pubmed/?term=23157299	6.5
isoelectric focusing	1110	https://www.ncbi.nlm.nih.gov/pubmed/?term=23157299	6.5
isoelectric focusing	1111	https://www.ncbi.nlm.nih.gov/pubmed/?term=23157299	6.5
or below, isoelectric focusing	1114	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	3.5
isoelectric focusing	1114	https://www.ncbi.nlm.nih.gov/pubmed/?term=17257262	3.6
calculated	1114	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	4.4
or below, isoelectric focusing	1115	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	3.5
isoelectric focusing	1115	https://www.ncbi.nlm.nih.gov/pubmed/?term=17257262	3.6
calculated	1115	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	4.4
or below, isoelectric focusing	1116	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	3.5
isoelectric focusing	1116	https://www.ncbi.nlm.nih.gov/pubmed/?term=17257262	3.6
calculated	1116	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	4.4
or below, isoelectric focusing	1117	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	3.5
isoelectric focusing	1117	https://www.ncbi.nlm.nih.gov/pubmed/?term=17257262	3.6
calculated	1117	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	4.4
or below, isoelectric focusing	1118	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	3.5
isoelectric focusing	1118	https://www.ncbi.nlm.nih.gov/pubmed/?term=17257262	3.6
calculated	1118	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	4.4
or below, isoelectric focusing	1119	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	3.5
isoelectric focusing	1119	https://www.ncbi.nlm.nih.gov/pubmed/?term=17257262	3.6
calculated	1119	https://www.ncbi.nlm.nih.gov/pubmed/?term=16473771	4.4
isoelectric focusing	1127	https://www.ncbi.nlm.nih.gov/pubmed/?term=17216454	4.2
recombinant His6-tagged wild-type enzyme, isoelectric focusing	1127	https://www.ncbi.nlm.nih.gov/pubmed/?term=19118652	6.8
	1127	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	8.6
isoelectric focusing	1128	https://www.ncbi.nlm.nih.gov/pubmed/?term=17216454	4.2
recombinant His6-tagged wild-type enzyme, isoelectric focusing	1128	https://www.ncbi.nlm.nih.gov/pubmed/?term=19118652	6.8
	1128	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	8.6
isoelectric focusing	1129	https://www.ncbi.nlm.nih.gov/pubmed/?term=17216454	4.2
recombinant His6-tagged wild-type enzyme, isoelectric focusing	1129	https://www.ncbi.nlm.nih.gov/pubmed/?term=19118652	6.8
	1129	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	8.6
isoform xynC, calculated	1161	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	5.5
isoform xynA, calculated	1161	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	5.8
isoform xynB, calculated	1161	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	6.0
isoform xynC, calculated	1162	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	5.5
isoform xynA, calculated	1162	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	5.8
isoform xynB, calculated	1162	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	6.0
isoform xynC, calculated	1163	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	5.5
isoform xynA, calculated	1163	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	5.8
isoform xynB, calculated	1163	https://www.ncbi.nlm.nih.gov/pubmed/?term=15278289	6.0
